"Table 7.2.6U. Real Motor Vehicle Output, Chained Dollars"
"Table 7.2.6U. Real Motor Vehicle Output, Chained Dollars"
"Last Revised on: February 27, 2025 - Next Release Date March 27, 2025"
Line,,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Motor vehicle output",440.6,445.8,440.5,442.8,414.2,387.5,362.9,299.1,238.1,248.6,306.6,322.7,347.1,363.8,382.7,387.4,398.1,384.8,396.5,422.4,450.6,453.3,449.7,457.3,476.3,481.7,461.2,489.4,492.5,512.1,531.0,527.6,532.9,555.8,579.6,547.0,560.0,561.2,565.8,567.5,552.9,562.0,555.0,600.4,594.6,614.1,613.6,614.0,597.8,610.4,622.2,579.3,540.9,333.6,630.0,571.7,598.5,581.2,507.6,544.7,537.2,540.7,556.2,556.2,587.6,606.2,593.4,563.0,567.8,594.4,565.1,572.1
2,"            Auto output",154.5,151.9,149.3,154.9,153.7,154.2,149.7,115.0,76.5,89.7,101.0,109.9,115.2,118.9,114.0,109.6,115.2,121.4,113.1,125.9,146.5,143.3,145.8,147.6,154.0,146.2,136.6,146.3,147.7,139.8,150.8,147.9,136.3,135.5,131.1,115.6,117.9,115.2,119.2,115.3,100.1,105.6,97.9,99.7,85.0,92.3,74.7,76.9,70.1,72.4,67.6,57.8,51.6,36.2,66.0,34.2,44.2,53.3,46.1,42.3,23.5,25.6,22.0,20.8,23.3,23.9,21.0,19.6,13.6,22.3,25.6,30.1
3,"            Truck output",281.3,289.7,287.2,283.2,255.0,226.6,206.1,179.4,160.5,155.9,202.8,209.5,228.9,242.1,267.1,276.9,281.6,260.9,282.2,294.6,300.8,307.1,300.8,306.7,319.0,332.9,322.5,340.8,342.4,370.6,378.1,377.7,395.4,419.4,448.0,431.2,441.8,445.8,446.3,452.0,452.8,456.4,457.2,500.7,509.5,521.8,538.9,537.2,527.8,538.1,554.8,521.5,489.3,297.4,564.2,538.7,555.6,528.4,461.6,503.3,519.4,519.6,540.0,541.5,570.6,589.0,579.5,550.3,562.4,580.0,546.9,549.4
4,Final sales of domestic product,453.4,449.9,439.3,450.1,416.6,391.6,377.0,305.4,299.6,294.8,316.7,292.7,318.0,336.0,361.2,387.8,391.8,395.0,385.9,403.1,413.4,422.9,425.4,445.6,469.8,463.1,447.1,453.3,471.3,498.7,514.5,514.1,524.2,536.4,546.8,536.1,537.4,536.9,547.7,545.7,528.2,526.9,548.1,582.8,569.3,587.7,584.0,582.2,571.5,580.7,597.7,590.6,490.7,483.1,555.6,533.3,619.1,659.1,557.6,543.5,531.3,537.0,533.9,539.6,569.8,578.6,568.3,541.5,529.6,544.5,555.5,587.1
5,"    Personal consumption expenditures",357.7,357.8,355.5,358.6,338.2,323.7,305.7,265.4,274.4,277.6,315.4,281.2,276.8,294.4,301.8,317.1,314.5,296.8,296.8,313.9,326.1,325.6,329.0,342.3,349.9,350.7,347.1,345.8,355.1,373.3,378.8,386.3,399.1,410.5,410.5,405.0,407.7,408.5,425.5,435.5,432.6,432.5,450.8,471.3,460.3,463.5,470.0,470.2,444.4,455.1,460.4,463.9,409.6,403.2,493.5,488.8,543.5,563.6,470.6,479.3,483.8,478.8,471.6,469.8,507.6,495.3,483.8,474.4,463.6,472.2,484.7,509.6
6,"        New motor vehicles",261.0,255.0,249.1,253.1,234.8,217.7,202.7,166.0,166.9,169.8,209.5,180.4,178.4,193.9,198.1,213.3,218.0,208.3,211.8,231.2,241.8,240.9,240.4,251.2,253.4,255.2,253.3,252.8,260.0,270.2,269.4,268.2,275.3,281.3,281.6,271.3,264.9,269.6,279.8,279.1,274.4,270.7,280.8,297.1,281.6,285.6,289.7,294.3,271.3,283.0,294.2,295.9,259.5,253.4,318.8,333.3,356.0,374.5,294.6,298.9,332.8,319.0,313.5,312.5,336.4,335.6,327.1,320.6,312.0,319.0,321.1,339.2
7,"            Autos",102.6,101.1,95.8,100.2,98.8,103.4,88.1,68.4,64.9,65.9,94.4,71.8,67.4,69.8,73.7,76.0,82.9,79.4,75.4,82.9,96.2,91.9,92.2,94.2,95.6,92.5,92.5,93.9,89.4,91.7,92.1,90.6,85.8,84.7,83.5,80.0,74.9,74.5,77.2,76.9,70.4,69.0,70.3,71.5,65.8,65.8,62.9,60.7,58.4,58.4,54.4,53.9,46.1,38.0,50.5,50.6,50.5,56.0,47.1,43.5,49.3,46.5,45.4,46.3,48.0,49.5,47.4,45.1,42.4,41.2,41.4,42.3
8,"                Domestic",64.4,63.4,59.3,62.1,62.1,63.0,53.9,41.9,39.9,40.7,63.6,45.4,43.6,44.8,46.8,48.9,55.1,52.2,49.3,55.7,63.7,61.2,61.9,61.6,66.5,64.0,63.1,63.9,63.1,65.5,67.0,66.4,63.0,62.8,62.0,59.4,55.6,54.8,56.7,57.3,52.3,51.7,51.6,52.2,49.0,49.7,48.2,45.7,42.6,42.8,39.8,39.9,33.9,28.0,38.4,37.8,34.5,39.2,32.4,32.9,33.7,31.3,31.2,30.7,32.2,33.5,30.9,29.6,26.2,24.7,23.6,23.2
9,"                Foreign",38.2,37.6,36.5,38.1,36.8,40.4,34.2,26.5,25.0,25.2,30.8,26.4,23.8,25.0,27.0,27.0,27.8,27.2,26.1,27.2,32.5,30.7,30.3,32.6,29.1,28.4,29.4,29.9,26.3,26.2,25.2,24.2,22.8,21.8,21.4,20.5,19.3,19.7,20.5,19.6,18.1,17.3,18.6,19.3,16.8,16.1,14.7,15.1,15.8,15.6,14.6,14.0,12.2,10.0,12.1,12.8,16.0,16.8,14.7,10.5,15.6,15.2,14.2,15.6,15.8,16.0,16.5,15.4,16.2,16.6,17.8,19.1
