Time,Motor,Trailer,Parts,Total Wages of production workers,Revenue in Billions,Expenditure,Fixed investments,Revenue,Profit,Share,Employment,EIT,Other wages,Profit captured by all workers,
2007Q1,4843122,1718183,8737169,15298474000,440.6,23059149700,1.699E+11,4.41E+11,2.03544E+11,0.061677,3065500,3065.5,29198688000,0.179394491,0.820605509
2007Q2,4424858,1726733,8063796,14215387000,445.8,22260016200,1.577E+11,4.46E+11,2.21574E+11,0.053433,3008700,3008.7,30250471000,0.167139756,0.832860244
2007Q3,4072465,1643972,7640984,13357421000,440.5,19701163600,1.521E+11,4.41E+11,2.25648E+11,0.049619,2962400,2962.4,30193518000,0.161779819,0.838220181
2007Q4,4453272,1687198,8016713,14157183000,442.8,21076618400,1.482E+11,4.43E+11,2.2785E+11,0.051721,2893900,2893.9,31715735000,0.167588599,0.832411401
2008Q1,3969403,1675457,7464855,13109715000,414.2,22393667600,1.399E+11,4.14E+11,2.09538E+11,0.052083,2813100,2813.1,29058179000,0.167528141,0.832471859
2008Q2,3882733,1633586,7201607,12717926000,387.5,20856092400,1.232E+11,3.88E+11,2.01749E+11,0.052135,2704400,2704.4,29476691000,0.172968521,0.827031479
2008Q3,3722055,1429813,6662881,11814749000,362.9,21776294700,1.018E+11,3.63E+11,1.98872E+11,0.049347,2576300,2576.3,28737163000,0.169373003,0.830626997
2008Q4,3906865,1424812,6932874,12264551000,299.1,17818941900,72200000000,2.99E+11,1.68233E+11,0.058687,2412700,2412.7,28483475000,0.194984303,0.805015697
2009Q1,3058640,1119422,5287129,9465191000,238.1,8806170800,36700000000,2.38E+11,1.57916E+11,0.049171,2106100,2106.1,25112269000,0.179628927,0.820371073
2009Q2,2806501,1138380,5222904,9167785000,248.6,10216581900,32800000000,2.49E+11,1.71331E+11,0.044507,1942700,1942.7,25485025000,0.168231066,0.831768934
2009Q3,2802931,1115804,5089096,9007831000,306.6,13407807200,34200000000,3.07E+11,2.24226E+11,0.034727,1959400,1959.4,26158354000,0.135571486,0.864428514
2009Q4,3286839,1275698,5943978,10506515000,322.7,16446737100,55200000000,3.23E+11,2.13387E+11,0.0418,1962600,1962.6,27459529000,0.151046553,0.848953447
2010Q1,2702079,1137993,5071026,8911098000,347.1,16748501400,79600000000,3.47E+11,2.17507E+11,0.035552,1982400,1982.4,24233764000,0.132234845,0.867765155
2010Q2,3037701,1288752,5480263,9806716000,363.8,17257911000,97700000000,3.64E+11,2.12657E+11,0.039378,2028400,2028.4,26578479000,0.146100585,0.853899415
2010Q3,2832005,1255155,5545498,9632658000,382.7,15731841200,1.136E+11,3.83E+11,2.1699E+11,0.037973,2057200,2057.2,27045926000,0.144592779,0.855407221
2010Q4,3237402,1359989,6266589,10863980000,387.4,15176166000,1.239E+11,3.87E+11,2.07531E+11,0.04382,2071900,2071.9,29529193000,0.162925735,0.837074265
2011Q1,3262042,1224213,6129023,10615278000,398.1,16583005800,1.327E+11,3.98E+11,2.12036E+11,0.04268,2118100,2118.1,26065724000,0.147480883,0.852519117
2011Q2,2989195,1272205,5895738,10157138000,384.8,16895881900,1.308E+11,3.85E+11,1.98995E+11,0.042802,2136900,2136.9,28151995000,0.161434759,0.838565241
2011Q3,3027902,1298241,6062337,10388480000,396.5,17587468300,1.455E+11,3.97E+11,1.94167E+11,0.044412,2154600,2154.6,29356983000,0.16991592,0.83008408
2011Q4,3781775,1308978,6676513,11767266000,422.4,20852665300,1.529E+11,4.22E+11,2.06079E+11,0.047401,2204700,2204.7,30400678000,0.169862625,0.830137375
2012Q1,3551051,1372900,6765449,11689400000,450.6,24820045700,1.624E+11,4.51E+11,2.23226E+11,0.044315,2267500,2267.5,28864178000,0.153740181,0.846259819
2012Q2,3478726,1421602,6612356,11512684000,453.3,25542509500,1.677E+11,4.53E+11,2.18591E+11,0.044321,2323800,2323.8,29654143000,0.158481771,0.841518229
2012Q3,3077863,1381020,6307484,10766367000,449.7,24049516000,1.726E+11,4.5E+11,2.12838E+11,0.042496,2366500,2366.5,29745999000,0.159906409,0.840093591
2012Q4,3690760,1521516,6978185,12190461000,457.3,24740105200,1.789E+11,4.57E+11,2.0913E+11,0.048115,2370200,2370.2,32039833000,0.174574962,0.825425038
2013Q1,3852460,1445608,7033321,12331389000,476.3,26876255000,1.887E+11,4.76E+11,2.18478E+11,0.047351,2417800,2417.8,29614340000,0.161067221,0.838932779
2013Q2,3663792,1522584,6867431,12053807000,481.7,27710087800,1.915E+11,4.82E+11,2.19649E+11,0.045869,2457100,2457.1,31086617000,0.164163166,0.835836834
